PPC Dashboard Leads Data updated till 31st-July-26,,,,,Total,,,July' 2026,,,June' 2026,,,May' 2026,,,Apr' 2026,,,Mar' 2026,,,Feb' 2026,,,Jan' 2026,,,Dec' 2025,,,Nov' 2025,,,Oct' 2025,,,Sep' 2025,,,Aug' 2025,,,July' 2025,,,June' 2025,,,May' 2025,,,Apr' 2025,,,Mar' 2025,,,Feb' 2025,,,Jan' 2025,,,Dec' 2024,,,Nov' 2024,,,Oct' 2024,,,Sep' 2024,,,Aug' 2024,,,July' 2024,,,June' 2024,,,May' 2024,,,Apr' 2024,,,Mar' 2024,,,Feb' 2024,,,Jan' 2024,,,Dec' 2023,,,Nov' 2023,,,Oct' 2023,,,Sep' 2023,,,Aug' 2023,,,Jul' 2023,,,Jun' 2023,,,May' 2023,,,April' 2023,,,,,,February' 2023,,,January' 2023,,,December' 2022,,,November' 2022,,,October' 2022,,,September' 2022,,,August' 2022,,,July' 2022,,,June' 2022,,,,,June' 2022,,
135,Xamarin Developer,https://www.virtualemployee.com/lp/hire-xamarin-developer/,Wasi,Mohsin,143,3,2.10%,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,48,100.00%,2.08%,29,0.00%,0.00%,23,100.00%,4.35%,21,100.00%,4.76%,5,0.00%,0.00%,8,0.00%,0.00%,0,,8,0,0.00%
136,Data Entry,https://www.virtualemployee.com/service/data-entry-experts/,old,old,166,1,0.60%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5,0,0.00%,4,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,9,0.00%,0.00%,17,0.00%,0.00%,21,0.00%,0.00%,28,0.00%,0.00%,34,100.00%,2.94%,15,0.00%,0.00%,16,0.00%,0.00%,0,,16,0,0.00%
137,virtual-administrative-assistants,https://www.virtualemployee.com/service/virtual-administrative-assistants/,old,old,262,4,1.53%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,49,0.00%,0.00%,21,0.00%,0.00%,9,0.00%,0.00%,32,0.00%,0.00%,22,0.00%,0.00%,16,0.00%,0.00%,25,200.00%,8.00%,28,0.00%,0.00%,20,100.00%,5.00%,20,0.00%,0.00%,1,,20,0,0.00%
138,Hire Blockchain Developer Optimized,https://www.virtualemployee.com/ir/hire-blockchain-developer-optimized/,Wasi,Sanjay,262,2,0.76%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,0,0,,0,0,,31,1,3.23%,42,0,0.00%,91,1,1.10%,7,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,36,0.00%,0.00%,31,0.00%,0.00%,17,0.00%,0.00%,17,0.00%,0.00%,30,0.00%,0.00%,0,0.00%,,0,0.00%,0,0,
139,hire mern stack developer,https://www.virtualemployee.com/lp/hire-mern-stack-developer/,Vikas,Mohsin,180,0,0.00%,0,0,,38,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,7,0.00%,0.00%,24,0.00%,0.00%,47,0.00%,0.00%,51,0,0.00%,0,,51,0,0.00%
140,Hire Social Media Experts Cr,https://www.virtualemployee.com/da/hire-social-media-experts-cr/,Ankita,Pratib,917,26,2.84%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,1,50.00%,124,500.00%,4.03%,391,1100.00%,2.81%,31,0.00%,0.00%,242,800.00%,3.31%,124,100.00%,0.81%,0,0.00%,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,0,0.00%,,0,0.00%,0,0,
141,Hire Drupal Developer,https://www.virtualemployee.com/lp/hire-drupal-developers-v1/,Wasi,Mohsin,150,3,2.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,21,100.00%,4.76%,15,0.00%,0.00%,15,0.00%,0.00%,17,0.00%,0.00%,24,0.00%,0.00%,29,100.00%,3.45%,0,0.00%,29,1,3.45%
142,hire ruby on rails developer,https://www.virtualemployee.com/ir/hire-ruby-on-rails-developers/,Wasi,Sanjay,137,7,5.11%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,0,0.00%,,2,0.00%,0.00%,25,100.00%,4.00%,29,200.00%,6.90%,18,100.00%,5.56%,17,100.00%,5.88%,14,100.00%,7.14%,14,0.00%,0.00%,1,,14,0,0.00%
143,Hire Dot Net Developer Optimized,https://www.virtualemployee.com/lp/hire-dot-net-developer-optimized/,Vikas,Kamla,185,1,0.54%,0,0,,0,0,,0,0,,5,0,0.00%,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,17,0,0.00%,31,1,3.23%,16,0,0.00%,12,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,13,0.00%,0.00%,17,0.00%,0.00%,17,0.00%,0.00%,21,0.00%,0.00%,13,0.00%,0.00%,26,0.00%,0.00%,0,,26,0,0.00%
144,Hire CMS Developer,https://www.virtualemployee.com/lp/hire-cms-developers-v1/,Wasi,Mohsin,108,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,45,0.00%,0.00%,23,0.00%,0.00%,19,0.00%,0.00%,9,0.00%,0.00%,10,0.00%,0.00%,1,0.00%,0.00%,0,,1,0,0.00%
145,internet-marketing-company,https://www.virtualemployee.com/service/internet-marketing-company/,old,old,307,6,1.95%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,86,200.00%,2.33%,36,0.00%,0.00%,14,0.00%,0.00%,77,100.00%,1.30%,32,0.00%,0.00%,8,100.00%,12.50%,26,200.00%,7.69%,5,0.00%,0.00%,13,0.00%,0.00%,5,0.00%,0.00%,0,,5,0,0.00%
146,Outsource To India Vd H,https://www.virtualemployee.com/lp/outsource-to-india-vd-h/m/,Daya,Mukhteshwar,125,2,1.60%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,7,0,0.00%,8,0,0.00%,3,0,0.00%,5,0.00%,0.00%,1,0.00%,0.00%,7,0.00%,0.00%,4,0.00%,0.00%,38,100.00%,2.63%,28,0.00%,0.00%,23,100.00%,4.35%,0,0.00%,,0,0.00%,,0,0.00%,,0,,0,0,
147,.Net Freelance,https://www.virtualemployee.com/lp/hire-dot-net-dedicated-developer/,vikas,Kamla,96,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,0.00%,6,0,0.00%,14,0,0.00%,13,0,0.00%,17,0,0.00%,16,0,0.00%,14,0,0.00%,0,,14,0,0.00%
148,hire-a-coder,https://www.virtualemployee.com/service/hire-a-coder/,old,old,134,4,2.99%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,9,0.00%,0.00%,13,0.00%,0.00%,5,0.00%,0.00%,15,0.00%,0.00%,23,0.00%,0.00%,11,0.00%,0.00%,14,0.00%,0.00%,7,200.00%,28.57%,12,0.00%,0.00%,12,100.00%,8.33%,0,0.00%,12,1,8.33%
149,outsourcing-agencies,https://www.virtualemployee.com/service/outsourcing-agencies/,old,old,119,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,19,0.00%,0.00%,16,0.00%,0.00%,4,0.00%,0.00%,5,0.00%,0.00%,9,0.00%,0.00%,9,0.00%,0.00%,30,0.00%,0.00%,5,0.00%,0.00%,6,0.00%,0.00%,8,0.00%,0.00%,0,,8,0,0.00%
150,Hire Backend Developer,https://www.virtualemployee.com/lp/hire-backend-developer/,Vikas,Biplab,102,0,0.00%,0,0,,79,2,2.53%,6,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,17,0.00%,0.00%,0,0.00%,,0,0.00%,,0,0.00%,,15,0.00%,0.00%,35,0.00%,0.00%,0,,35,0,0.00%
151,Hire Offshore Software Developers,https://www.virtualemployee.com/lp/hire-offshore-software-developers/,Vikas,Kamla,78,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,8,0.00%,0.00%,19,0.00%,0.00%,11,0.00%,0.00%,15,0.00%,0.00%,1,0.00%,0.00%,12,0.00%,0.00%,0,,12,0,0.00%
152,Hire Dot Net developers,https://www.virtualemployee.com/lp/hire_dot_net_developers/,Daya,Mohsin,355,4,1.13%,3,0,0.00%,2,0,0.00%,0,0,,64,0,0.00%,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,15,1,6.67%,16,0,0.00%,11,0,0.00%,21,2,9.52%,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,0,0,,55,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,1,0.00%,0.00%,108,100.00%,0.93%,1,0.00%,0.00%,12,0.00%,0.00%,15,0.00%,0.00%,6,0.00%,0.00%,9,0.00%,0.00%,16,0.00%,0.00%,16,0.00%,0.00%,0,0.00%,,0,,0,0,
153,Hire ecommerce developer,https://www.virtualemployee.com/lp/hire-ecommerce-developers/,Irfan,nabil,153,1,0.65%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,31,0,0.00%,29,0,0.00%,14,0,0.00%,0,0,,4,0,0.00%,1,0,0.00%,2,0,0.00%,8,1,12.50%,1,0,0.00%,2,0,0.00%,1,0,0.00%,3,0,0.00%,57,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
154,offshore-marketing,https://www.virtualemployee.com/service/offshore-marketing/,old,old,74,4,5.41%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4,0,0.00%,2,0,0.00%,2,0,0.00%,11,2,18.18%,10,1,10.00%,15,0,0.00%,11,0,0.00%,11,1,9.09%,6,0,0.00%,1,0,0.00%,0,,1,0,0.00%
155,Hire App Developers,https://www.virtualemployee.com/lp/hire-app-developers/m/,Irfan,Ajay,66,1,1.52%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,12,0.00%,0.00%,0,0.00%,,0,0.00%,,50,100.00%,2.00%,1,0.00%,0.00%,3,0.00%,0.00%,0,0.00%,,0,0.00%,,0,0.00%,,0,,0,0,
156,indian-programmer,https://www.virtualemployee.com/service/indian-programmer/,old,old,86,8,9.30%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,13,0,0.00%,3,0,0.00%,2,1,50.00%,6,0,0.00%,9,1,11.11%,5,0,0.00%,7,0,0.00%,5,0,0.00%,16,2,12.50%,10,100.00%,10.00%,2,2000.00%,10,1,10.00%
157,philippnes-developers,https://www.virtualemployee.com/service/philippnes-developers/,old,old,61,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,3,0.00%,0.00%,7,0.00%,0.00%,11,0.00%,0.00%,16,0.00%,0.00%,4,0.00%,0.00%,8,0.00%,0.00%,6,0.00%,0.00%,0,,6,0,0.00%
158,Staff augmentation Services,https://www.virtualemployee.com/lp/staff-augmentation/,Vikas,Mohsin,93,2,2.15%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,14,0.00%,0.00%,3,0.00%,0.00%,4,0.00%,0.00%,6,0.00%,0.00%,34,0.00%,0.00%,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,16,100.00%,6.25%,0,0.00%,16,1,6.25%
159,Legal Researcher,https://www.virtualemployee.com/lp/legal-research-v1/,Wasi,Kamla,1906,84,4.41%,29,0,0.00%,32,2,6.25%,37,0,0.00%,57,,0.00%,166,0,0.00%,65,0,0.00%,70,1,1.43%,71,1,0.00%,51,1,1.96%,42,1,2.38%,42,1,2.38%,0,0,,49,2,4.08%,68,4,5.88%,71,4,5.63%,53,0,0.00%,71,2,2.82%,48,0,0.00%,52,2,3.85%,60,1,1.67%,65,1,1.54%,62,3,4.84%,81,2,2.47%,49,7,14.29%,83,4,4.82%,55,4,7.27%,61,5,8.20%,68,3,4.41%,61,7,11.48%,89,5,5.62%,103,5,4.85%,1,0,0.00%,1,1,100.00%,1,0,0.00%,71,4,5.63%,101,7,6.93%,51,3,5.88%,16,2,12.50%,7,0,0.00%,10,200.00%,20.00%,11,100.00%,9.09%,6,0.00%,0.00%,10,0.00%,0.00%,9,0.00%,0.00%,10,200.00%,20.00%,5,100.00%,20.00%,13,0.00%,0.00%,6,100.00%,16.67%,6,0.00%,0.00%,10,0.00%,0.00%,0,,10,0,0.00%
160,staff-outsource,https://www.virtualemployee.com/service/staff-outsource/,old,old,49,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,7,0.00%,0.00%,14,0.00%,0.00%,3,0.00%,0.00%,13,0.00%,0.00%,6,0.00%,0.00%,0,,6,0,0.00%
161,outsourced-work,https://www.virtualemployee.com/service/outsourced-work/,old,old,92,2,2.17%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,19,0.00%,0.00%,12,0.00%,0.00%,3,0.00%,0.00%,10,100.00%,10.00%,10,0.00%,0.00%,10,100.00%,10.00%,14,0.00%,0.00%,1,0.00%,0.00%,1,0.00%,0.00%,6,0.00%,0.00%,0,,6,0,0.00%
162,Hire Kotlin Developers,https://www.virtualemployee.com/ir/hire-kotlin-developers/,Arpan,KL,66,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,26,0,0.00%,1,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,17,0.00%,0.00%,14,0.00%,0.00%,7,0.00%,0.00%,0,0.00%,,0,0.00%,,0,0.00%,,0,,0,0,
163,outsource accounts receivable,https://www.virtualemployee.com/lp/outsource-accounts-receivable/,Wasi,Mohsin,51,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,0.00%,0,0,,4,0,0.00%,13,0,0.00%,1,0,0.00%,4,0,0.00%,4,0,0.00%,6,0,0.00%,9,0,0.00%,0,,9,0,0.00%
164,NET Angular Developers,https://www.virtualemployee.com/lp/hire-angular-developer-v1/,Wasi,Kamla,34,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,34,0.00%,0.00%,0,0.00%,,0,,0,0,
165,Hire Back Office Experts,https://www.virtualemployee.com/lp/hire-back-office-experts-new/,Daya,Nabil,36,1,2.78%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,10,0,0.00%,9,1,11.11%,1,0,0.00%,5,0,0.00%,7,0,0.00%,2,0,0.00%,0,,2,0,0.00%
166,Hire Seo Expert Mobile,https://www.virtualemployee.com/ir/hire-seo-expert-mobile/,Arpan,Vishal,33,1,3.03%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,1,0.00%,0.00%,20,100.00%,5.00%,7,0.00%,0.00%,5,0.00%,0.00%,0,0.00%,,0,0.00%,,0,0.00%,,0,,0,0,
167,Outsource Software Testing,https://www.virtualemployee.com/lp/outsource-software-testing/,Koyel,Nabil,30,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,30,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,
168,Research Analyst(Original),https://www.virtualemployee.com/service/hire-research-and-analysis-experts/,Daya,Mukhteshwar,32,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,0.00%,7,0,0.00%,2,0,0.00%,9,0,0.00%,5,0,0.00%,3,0,0.00%,0,,3,0,0.00%
169,outsourcing-vendors,https://www.virtualemployee.com/service/outsourcing-vendors/,old,old,31,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0.00%,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,2,0.00%,0.00%,3,0.00%,0.00%,7,0.00%,0.00%,10,0.00%,0.00%,1,0.00%,0.00%,4,0.00%,0.00%,0,,4,0,0.00%
